K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
65.03.14.2004,,,,,,4 Sekikilan,,"Semula wil Kec. Sebuku, Perda No. 27/2011"
65.03.14.2005,,,,,,5 Kalunsayan,,"Semula wil Kec. Sebuku, Perda No. 27/2011, Perbaikan nama desa
sesuai Surat pemprov Kaltara No. : 140/388/BPMPPKBPD perihal
Verifikasi kesesuaian data desa tgl 14 Juni 2016"
65.03.14.2006,,,,,,6 Tembalang,,"Semula wil Kec. Sebuku, Perda No. 27/2011"
65.03.14.2007,,,,,,7 Salang,,"Semula wil Kec. Sebuku, Perda No. 27/2011"
65.03.14.2008,,,,,,8 Tinampak I,,"Semula wil Kec. Sebuku, Perda No. 27/2011"
65.03.14.2009,,,,,,9 Tinampak II,,"Semula wil Kec. Sebuku, Perda No. 27/2011"
65.03.14.2010,,,,,,10 Naputi,,"Semula wil Kec. Sebuku, Perda No. 27/2011"
65.03.14.2011,,,,,,11 Tau Baru,,"Semula wil Kec. Sebuku, Perda No. 27/2011"
65.03.14.2012,,,,,,12 Balatikon,,"Semula wil Kec. Sebuku, Perda No. 27/2011"
65.03.15,,,,15Lumbis Ogong,-,26,,"Pemekaran wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2001,,,,,,1 Payang,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2002,,,,,,2 Suyadon,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2003,,,,,,3 Bulu Mengolom,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2004,,,,,,4 Tukulon,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2005,,,,,,5 Ubol Sulok,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2006,,,,,,6 Batung,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2007,,,,,,7 Ubol Alung,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2008,,,,,,8 Nansapan,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2009,,,,,,9 Samunti,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2010,,,,,,10 Semata,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2011,,,,,,11 Sungoi,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2012,,,,,,12 Salan,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2013,,,,,,13 Sinampila I,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2014,,,,,,14 Paluan,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2015,,,,,,15 Sedalit,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2016,,,,,,16 Tambalang Hilir,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2017,,,,,,17 Tadungus,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2018,,,,,,18 Sinampila II,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2019,,,,,,19 Kalambuku,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2020,,,,,,20 Jukup,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2021,,,,,,21 Long Bulu,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
,,,,,,Sumentobol,,"Semula wil. Kec. Lumbis, Perda No. 28/2011.
Menjadi wil. Kec. Lumbis Pansiangan sesuai Perda No. 2/2019."
65.03.15.2023,,,,,,22 Linsayung,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2024,,,,,,23 Tumantalas,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2025,,,,,,24 Sanal,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2026,,,,,,25 Limpakon,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
65.03.15.2027,,,,,,26 Labuk,,"Semula wil Kec. Lumbis, Perda No. 28/2011"
,,,,,,,,
